,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
8530,Paxip1,Gm38100,Gm18397,Gm15962,Fam13c,Gm24089,Cavin3,Gm20396,AC102091.1,Kif21b,Thbs1,AC138768.1,,,,Gm27011,Gm34047,Gm47145
8531,Gm5768,Bmyc,Gm11395,Gm5479,Gm47336,Ifna4,Vps45,Gm13497,Pla2g4c-ps,Morf4l1-ps1,Chm,Tmem156,,,,Cdkl1,Vmn2r-ps36,Gm23791
8532,Atp6v1b2,Gm16549,Olfr379-ps1,Gm15967,Gm28888,Serpina3g,Rita1,AC134908.2,Gm5267,Myom1,Gm43720,Gm48096,,,,Nipa1,Gtpbp4-ps5,Gm45575
8533,Cycs,Terf1,Gm23271,Gm27150,Wdr86,Gm9133,Opa1,Mpv17l,Glo1,Ccdc13,Rps6kb2,Gm7880,,,,Des,Gm17571,1700025K04Rik
8534,Ctnnbip1,Gm7986,Lyz1,Atf2,Lamtor3,Gm12795,Cilp2,Gm17529,Gm24046,Hist1h4n,Tyk2,Gm32816,,,,Mindy1,Gm37202,4930515B02Rik
8535,Gm15391,Prepl,Gm6445,Olfr277-ps1,Serpinb8,Gm2961,Gm15663,Slc9a2,Gm39214,AC134576.1,Cep70,Dgka,,,,Snord116l5,Sord,Gm24230
8536,Gm24976,Ncoa4,Olfr403,Vmn1r209,Gm13711,Mpst,Platr14,1700006J14Rik,Gm47615,Smim11,Usp19,Gm27410,,,,Gm20208,Igfbp2,Gm37224
8537,AC141471.5,Mir6399,Kdelr1,Suds3,Gm38397,Wdr93,Praf2,Rbm42,Foxj1,Phf20l1,A730071L15Rik,Gm15467,,,,Nap1l2,Gm18508,Gm49393
8538,Caly,Gm27866,Olfr98,1700111E14Rik,Emc7,Gm2415,4930542C16Rik,Pim3,Atp5o-1,Cish,Gm37181,Gm41230,,,,Wbp2nl,Olfr1374-ps1,Ptchd1
8539,Ophn1,4930403D09Rik,Gm9134,Rbp7,Dhx57,Gm4545,1700027A15Rik,Ddr1,Gm13017,Gm45668,Dync1i2,Gm49199,,,,Mrpl27,AC139553.1,Gm28693
8540,Adgb,Nell2,Mup4,Gm36999,Gm6180,Gm35147,Vmn1r199,Abraxas2,Spata45,Fxyd7,Gm715,1700025K04Rik,,,,Mir3074-1,Gm24132,Gm34060
8541,Gm24903,Gm37326,Ptchd3,Gm1141,Ptbp3,AC117261.1,Gm15521,Cant1,Mir667,Gm25364,Qars,2610042L04Rik,,,,Gm16175,Ugt2b37,Olfr574
8542,Slc17a6,Gm42732,Gm48669,Srgap1,Gm17772,Gm48303,Stambp,Gm4221,Gm13416,Kif16b,Cebpz,Gm28536,,,,Hist1h2bg,Gm34557,Scarna10
8543,D730045A05Rik,Smarca1,4930458B22Rik,Gm47017,Gm13579,Hist1h2br,Gm10544,Svip,Gm16226,Rbmx2,Ttc13,Dpy19l2,,,,B3galt2,Dmbx1,AI646519
8544,Lamtor3,Gm23595,Gm7732,Igkv4-77,Gm5987,Gm38584,Ttl,Psmg1,Gm44247,Piezo2,Gm33785,Gm13426,,,,4930517G19Rik,Gm18351,Gm18150
8545,Gm20386,Actl6a,Tas2r104,Gm3972,Sccpdh,Smim9,Gm31641,AC131675.3,Nsa2-ps2,Gm31045,Emp3,Gm17831,,,,Gm25986,Gm36503,Gm18632
8546,Gm42821,Mafk,Prdx2-rs3,Gm26929,Plekha8,Gm45760,Fam84b,Rgs20,Gm23077,Nup107,5033430I15Rik,Cul4b,,,,Gm10177,Gm6960,Gm23641
8547,Gm25811,AC166172.6,Gm44947,Ifi203,Gm44937,Kctd11,Sesn1,Pidd1,Gm38126,U2af1,Gm9871,Gm14218,,,,Gm13830,Gm22141,Gm24536
8548,Cep63,Apeh,Gm15314,Nudt6,Olfr691,4930506C21Rik,1700028B04Rik,Usp53,Mir21b,Gm47772,Cacng8,Gm44154,,,,Gm8376,Gm31258,Gm10874
8549,9530022L04Rik,Txndc15,Gm24951,Grxcr2,AC148020.1,Gm44771,Dusp16,A730011C13Rik,Rps17-ps1,Senp3,Gm34006,Gm47910,,,,Gm8616,Gm18465,Trav8n-2
8550,Apip,Fam208a,Ighv5-5,Gm4996,Msantd4,Gm25497,Gm48845,Ror1,Drc3,Itfg1,Zfp687,Taz,,,,Gm13206,Gm23342,Gm37496
8551,Acot12,Rab11fip2,Prss46,4930597L12Rik,Capns2,Cacng6,Mrps26,Zfp444,Gm27587,Gkn2,Gm5066,Gm37135,,,,Ybx2,Defa33,Cd9-ps
8552,Nqo2,Gm43889,Ighv5-10,Fam49b,Gm25483,Alg6,Abhd12,Rsu1,2410003I16Rik,Gm13965,Gm43572,Gpr84,,,,Spata21,Gm25485,Gm22200
8553,Gstt3,Hmgb1-rs18,Gm13085,Il1rl2,Gm36367,Gm49370,1700112L15Rik,Lsm12,Gm29359,Skap1,Gdf15,Gm40264,,,,Gm45051,Ccdc169,Olfr997-ps1
8554,Gm47584,Zfp507,Klk13,Gm18879,Cyp2j5,Gm14748,Gm11292,Gm10570,Gm16177,Gm16725,Tent2,Creb1,,,,Gm42901,Gm37074,Gm37444
8555,AC115789.5,Itgb3bp,Olfr22-ps1,Mir705,Gm44903,Gm48643,Idua,Paip2,Pbxip1,Ccl26,Zfp951,Dio2,,,,Gm21953,Gm17847,Gm44451
8556,Gm6213,Gm13572,Gm9611,Lpl,Cnot11,Gm4118,Gm47570,Eid3,D530018E20Rik,Gsdma,E230025N22Rik,Ccr4,,,,Avil,Gm5706,Mir3087
8557,Calr-ps,Gm5577,Gm49764,Gm48347,Katnal2,Gm11619,Vps13b,Pdyn,Gm13006,Naa16,4833412C05Rik,Pgm3,,,,9430037O13Rik,Gm48755,Gm37023
8558,Gm48632,Top3b,Gm4985,Mcu,Mybl1,Gm48590,H6pd,Gm37695,Mir5128,Wac,Phyh,Hsd17b10,,,,Gm6807,Gm5846,Gm49462
8559,Gm2429,Gm25950,Gm12917,Gm28003,Tmed3,Gm26917,Cdkl5,Cox14,Higd2a,Zfp873,Rsad1,Gm43928,,,,D030040B21Rik,Entpd1,Olfr1543-ps1
8560,Mir6957,BC004004,Gm23561,Pus7,Tmem268,A730082K24Rik,Uba7,Riiad1,Pikfyve,Prmt7,St6gal2,Rnf43,,,,Mirlet7b,Gm3248,1700066N21Rik
8561,Zfp280c,Hoxb8,Gm23294,Cdc40,AU040320,Cox14,Yipf1,Gm26671,Gm37399,D730003I15Rik,Usp7,Gm25923,,,,Spn,Gm15384,Gm45275
8562,2600014E21Rik,Gm21596,Serpina1b,Gm20757,Diaph3,Gm16147,Lrrc26,1700022A21Rik,Mir29b-1,Gm6055,Gm38318,Lrrc61,,,,AC137853.1,Gm20043,Gm12773
8563,Eif4e2,Arid1b,Naalad2,Med17,Gm5266,Gm12846,2900045O20Rik,Gm14963,Glod5,Zfp692,1700102P08Rik,Cyb561a3,,,,Gm42838,Rpap2,Mfrp
8564,Pogk,Gm16271,Gm46994,Gm24073,Cnr1,4930517G19Rik,Ankrd50,Slc25a20,Rab19,Psmd10,Gm11146,Gm13554,,,,Gm27028,4930434O05Rik,Gm24667
8565,4930478K11Rik,A530083M17Rik,Gm42870,Rnf19a,Gm27342,Timm29,Gm48851,Cenpb,Gm25498,Gm26755,Cd200,Gm22818,,,,Zfp653,Gm9113,Gm22464
8566,Gm47960,Gm36307,Vmn1r122,Gm12966,Gm47706,Scrn2,Kdelr1,4930545H06Rik,Gm25772,Lrrc23,Slc39a9,Tctex1d2,,,,Gm26826,Gm48358,Ighv2-1
8567,Micu2,Gm30339,AC161261.4,Gm6060,Gm24389,Zfp319,Tfap2e,Gm30191,Uba5,Gclc,Clrn3,Olfr1454,,,,Trappc6a,Gm7201,Mir496a
8568,Syndig1,AC124973.1,Gm2666,Adamtsl5,Lrriq4,Gm48513,Lpcat3,Dram1,Gm44264,6030458C11Rik,Gm6305,Gm49539,,,,Gm37859,Gm24835,Trmt112
8569,Zfp354a,4930449E18Rik,Gm28169,Gm8172,Jaml,Ighv5-5,Psd4,Cc2d2a,Gm7329,Trmt44,Coa6,Lsm5,,,,Taf6l,Clec2e,Gm49403
8570,Xrcc5,Ankrd42,Cbx3-ps5,Gm47084,Ano8,Gm10701,Gm19692,Gm48939,Mrpl55,Gm17711,Gm21388,Rnaseh2a,,,,Mosmo,Il17f,Gm47289
8571,Fam13c,Usp1,Gm5662,Gm37862,Gm19921,Gm14825,Hacd2,Nol7,Gm24769,Trim39,Gm4870,Capsl,,,,Gm16219,Gm5207,Gm23736
8572,AB041806,Bclaf3,AC099591.1,Gm23909,Gm47380,Gm44503,Phlpp1,Actr1a,Gm19710,Hsbp1,Gm25998,Gm42455,,,,Sds,5430401H09Rik,Gm7309
8573,Gm38249,Eef1akmt4,Gm27306,Gm44839,AC118208.1,Gm42983,Mir7056,Slc25a46,Mir324,Kif3b,Gm4319,Stx1b,,,,Gm37688,Rpl24,Gm43353
8574,Angptl2,Abhd14b,Gm23018,7420701I03Rik,4930428E07Rik,Gm16209,Gm48114,Zfp950,Gm23630,Gm43164,Gm43519,Gm47754,,,,Gm23370-1,Gm25542,Dolpp1
8575,Gm16161,Gm15201,Gm18624,Gm8206,Zgrf1,Gm43773,Zfp638,Gnptab,Dach2,Pdlim7,CT025671.4,Gm45485,,,,Vwa3a,Spata13,Gm40617
8576,A730060N03Rik,Retreg2,Gm7251,Btla,Gm47715,Gm48388,AC124430.1,Iffo1,2300002M23Rik,BC030499,Gm8737,Gm7128,,,,Prps2,Crim1,Mir7647
8577,Olfr13,Mesd,Gm25032,Gm48617,Tmed1,Sgo2b,Gm30694,Gm43660,Gm26594,AC098733.1,Gm43116,Gm12707,,,,Zmynd15,Gm49233,Gm26466
8578,Gm49782,Rpia,Gm17572,Gm22639,Gm6015,Arhgap27os2,Emilin2,Cnpy3,Slc27a6,Tnfrsf25,Gm12653,Gm47734,,,,Lipn,4933409G03Rik,Mir483
8579,Cdo1,C130030K03Rik,Olfr1454,Gm33354,Alg9,St6galnac2-1,Tarbp1,Gpr132,Apoc4,Gpr89,Gm29611,1700119I11Rik,,,,Mir6992,Dph3b-ps,Gm25005
8580,Iqschfp,4930517G19Rik,Rpl18a,Zc3h4,Clic5,Gm23468,Pom121l2,Rnf152,Olfr266,Plekhj1,Gm29598,Gm24352,,,,Mipep,Rftn1,n-R5s121
8581,Gm37229,Gm23492,Vmn1r52,Gm23416,Itga11,Olfr310,5830418P13Rik,Gm9493,Gm14698,Elac2,Gm47819,Gm13365,,,,Naa38,1700016B01Rik,Gm49010
8582,Gm26307,AC154806.1,Gm13587,Epg5,Gm43836,Gm15263,Emilin3,Zc3h10,Ankrd66,Gm25643,4933439K11Rik,Gm18414,,,,Gm12425,Gm2089,1700008P02Rik
8583,Ncoa4,AC164555.1,Gm27910,Pcx,Gm4929,Gm15312,Gm42109,Gm21974,Gm6564,Gm43457,Eps15l1,Hoxb1,,,,Gm26414,Zfp820,Gm11412
8584,Stard7,Gm43155,Gm2003,Gm4909,Gm42196,Gm28172,Mansc1,Gm12063,Gm10234,4921511C10Rik,Ptpn13,Gm26157,,,,Sipa1l2,Pate3,Syndig1l
8585,Dirc2,Gm41115,Gm10479,Gm48909,Gm6155,Gm15085,Gm14963,4930500F04Rik,Gm19104,Serpina3e-ps,Itm2b,Gm6851,,,,Acot2,Gm6912,Gm23042
8586,Slc6a16,Prss51,Mir8107,Gm15130,Rp9,4933402N22Rik,Gm38039,Rpl8,Gm17956,Gm45334,Itga5,Gm24271,,,,Duoxa2,Sned1,Srsf10
8587,Gm15178,Mon1a,Mir211,1700100I10Rik,Gm5830,Gml,Sbf2,Jph4,Gm25872,Akap17b,Gm10556,AC107792.2,,,,Gsdmc4,Trim30e-ps1,Gm21026
8588,Gm28722,Dmp1,Gm23332,Gm4842,Lrrfip1,Tmem138,Gm6057,Tm2d3,Gm49489,Pnrc2,Ctif,Rps2-ps10,,,,Tpd52l1,Gm47203,Pfdn5
8589,2210408I21Rik,Gm37800,Snord32a,Gm48277,Gpr1,Trim10,Gm26797,Gm40685,Gm10167,Oser1,Crb3,Gm7205,,,,Zfp593,Gm8784,Kank3
8590,AC131065.3,Gm12504,Olfr894,Kif13b,Gm7252,Gm13539,Pip5k1bos,Scube3,Gm26102,Snapc4,Gm6610,Gm14299,,,,Cep104,St5,Tarbp1
8591,Iws1,2510009E07Rik,Zfp112,Svil,Gm24174,Olfr97,Hgsnat,AC163629.2,Wincr1,Il12b,Prdm6,AC109261.3,,,,Syne3,Gm15752,Med28
8592,Spef1,Gm42847,Gm20391,Flna,Gm22286,Gm11973,Gm27509,Mlxipl,Pzp,Rwdd2a,Mfsd11,Gm48992,,,,Slc35e1,Gm7976,Olfr510
8593,Gm28095,Senp2,Gm15233,Pemt,Gm23723,Mir6970,Gorab,Llgl1,Gm29234,Ube2v1,Dio2,Hoxaas3,,,,Bloc1s2-ps,Gm4865,AC113104.2
8594,Gm48239,Pabpc4,Gm23690,Slc26a2,Gm8802,1110046J04Rik,Glis2,Plxna4os3,Agbl2,Gm49166,Usp32,Gm45173,,,,4930451G09Rik,Gm13191,Actr1a
8595,4931428F04Rik,Gm45521,Olfr59,Gm23708,Vmn1r39,Gm14592,Sh2d7,Mocs1,Gm18320,Il15ra,Hist2h3c2,Gm23430,,,,Tlcd2,Scgb1b26-ps,Tra2b-ps
8596,Hhatl,Gm29261,Trav6d-4,Gm2040,Gm49533,Gm27026,Gm10217,Poll,Gm32568,Zfp940,Rimbp3,Olfr586,,,,Gm44198,Gm28281,St8sia6
8597,Cbln4,Gm14238,Olfr895,Gclc,Gm37531,Grcc10,Gm15774,5430425E15Rik,Ces2a,Mrpl15,Gm10180,Rbbp6,,,,Gm15489,4933439N06Rik,Zfp398
8598,Gm44258,Gm28505,Gm6486,Gm30551,Mcf2,1700092M07Rik,Enpp5,Chl1,Eif1-ps3,Arhgap11a,Ttpa,Gm25392,,,,Gm26892,4933433N18Rik,2310011J03Rik
8599,Gm23159,Edaradd,Gm16428,Gm43365,Trim23,Dph2,Sema6a,Ankrd1,Gm23232,Chpf2,Gm44243,AC124578.2,,,,Grk2,Gm48619,Gm18369
8600,Gm23509,D2hgdh,Gm19428,Ppp4c,Gm2638,Lhcgr,Gm12120,Mto1,Gm17918,Zfp335,Hist1h3f,Defb28,,,,Smyd2,Gm45199,Abcb6
8601,Angptl6,Gm48233,Ces2c,Gm44177,Gm47893,Olfr966-ps1,Gpalpp1,Rpl7,Gm25390,Kpna3,Tet1,Trbv18,,,,Gm17040,Ces2e,Gm22617
8602,Gm11644,Gm13422,Gm24124,Gm20617,AC099591.1,Lrrc56,Tmem18,Gm15734,Gm27017,Gcdh,Notum,Gm48282,,,,Cnpy3,Gm9375,Gm45267
8603,Myo7a,Atp2a3,Gm7748,Plekha5,Gm43017,Gm27244,Gm25767,Med12,Gm48131,Gm22947,Rras,Gm5452,,,,Leng1,Gm45063,Gm26718
8604,4933439K11Rik,Cant1,Gm4120,Gm34816,Gm13604,Sap30l,Gm23214,Slc2a2,Trim60,Gpn1,Gm26124,AC140413.4,,,,Polr2l,Ugt1a6b,Morn3
8605,Gm37944,Gm43311,Gm45195,Gm42520,Gm14153,Hsf4,Gm44365,Gm3455,Gm8375,Tubb2a-ps2,Gm7701,Gm22150,,,,Ndufaf4,Olfr552,Gm6418
8606,Gm25372,Lrrc73,Gm45543,Gm6369,Gm10623,Selenoo,Gm45538,Gm4792,4930434B07Rik,Gm22216,Gm19045,Gm22618,,,,1700023F06Rik,Gm49111,Jak2
8607,Gm48889,Syde1,Gm18691,Gm41322,Gm29052,Tln1,Gm23674,Gm5119,Gm22822,Zswim8,Olfr1331,Rps12-ps10,,,,Gm44270,Gm22750,Rpl7a-ps11
8608,Gm7452,Gm19967,Gm5900,Gm48387,Ube2t,Gm28579,4930402F06Rik,Becn1,Gm22956,Gm47945,Gm48719,Gm23845,,,,Apopt1,Srfbp1,2610028D06Rik
8609,Gm18949,Bbc3,Olfr687,Trp53rka,Gm7529,Fbxo3,Gm24794,Adam19,Gm4577,Gm44716,Srrd,Gm13007,,,,Gm36169,Gm38169,Cep78
8610,Mtdh,Gm5873,Gm11394,Olfr170,Gm15429,Gm12682,Stard13,Gm9731,Gm49632,Gm28669,Gm26897,Gm46516,,,,Gm26185,CT025880.2,Nkx2-9
8611,Mir7045,Gm19898,Mir7222,Clec18a,Gnb5,Gm30692,Gm22242,Sun1,Gapt,Apbb3,Gm20536,Olfr1122,,,,Mir6920,4930480G23Rik,H2-DMb2
8612,Chmp1b,Gm42628,Gm45456,Gm30684,Stxbp3-ps,Gm6284,Wfdc2,Usp10,Gm2814,Trac,AC147989.3,Gm26381,,,,Il18bp,4930459C07Rik,Gm24256
8613,Gm25611,Rbm46os,Cyp4a12b,Gm22283,Gm31456,Gm43818,Mir6343,Gpx1,Gm11577,Gm10113,Gm48809,Gm23548,,,,Tspan7,Gm44988,Gm26641
8614,Gm37275,Wnt11,Mir6375,Gm49436,Zc3h4,Gm43817,Gm25763,4932422M17Rik,Gm47362,Rnf144b,Mest,3110009M11Rik,,,,Gm15476,Gm45594,Crot
8615,Dgcr6,Rps12-ps3,Scgb2b29-ps,Gm43132,Gm26101,Gm13743,Bbs5,Prepl,4930432H08Rik,Kptn,Nctc1,AC139296.3,,,,Cdip1,Gm43025,Gm26862
8616,Zfp574,Gm15872,Mir683-2,Gm22036,Copz1,Zfp605,Ndufs7,Rtn4ip1,Ldoc1,Gm11760,Gm43870,Gm17090,,,,AC111128.2,Gm42995,Trav13n-1
8617,1700120O09Rik,Gm8843,Gm2000,Tcirg1,Cd244a,Gm6929,Safb2,Xpo4,Gm12959,Tgoln1,AC116451.2,Klhl12,,,,AC134830.2,AC126027.1,Gm14577
8618,Pnrc1,A130050O07Rik,Gm14593,Gm9855,Gm15744,AC122861.3,Csf3,Gm37774,Gm30978,Gm47731,Cldn8,Slc22a14,,,,Thg1l,Gm18414,Hif1an
8619,Ebp,Tmem28,Gm44651,Vmn1r181,Tmem19,Klk1b5,Med1,Ppfia3,Nr1i2,Txndc16,Gm18508,Zgrf1,,,,Sod1,Gm48097,Gm11604
8620,Gtpbp1,Ppcs,Rcsd1,Gm47788,Gm7419,Gm23721,Gm29331,Mtx3,Gm5674,Gm47847,Adam2,Gm37570,,,,Gal3st1,Serpina3f,Trav11
8621,Gm26859,Rangap1,Olfr56,Igfbpl1,Gm45432,Mir7682,Gm23444,Lyst,Gm14281,Gm27194,Gm6885,1190001M18Rik,,,,Gm32405,Gm43860,Bag5
8622,Gm3086,Gm24165,Gm13229,Gm29678,Saa4,Gm22442,Gpr180,Rnf6,Gm34237,Lrrc75aos2,Gm49642,Gm13997,,,,Zfp628,Gm10313,Gm29689
8623,Gm43999,Ush1g,Olfr19,Ngb,Gm18405,Gm44702,Gm26040,Vps54,Gm49728,Nckap1,Natd1,Gm11668,,,,Zfp622,Gm45894,Gm15356
8624,Abca8b,Pitpnm2os1,BC018473,Grin2d,Ccdc117,Wdfy2,Gm6116,Gm48004,Gm7579,1600014C10Rik,Cyp26a1,Tbx4,,,,AC163635.1,Gm47897,Gm24493
8625,Myof,Bhlhb9,Ighv2-2,Gm36855,Gm3953,Gm47814,Tep1,Dazap1,Gm47510,Cpped1,AC127347.2,AL603804.1,,,,Dok6,Gm43444,Vmn2r52
8626,Chrd,Gm47190,Gm12834,Gata1,Gm44969,4930539E08Rik,Zfp786,Aebp2,Gm19587,Grb7,Gm13547,Gm15808,,,,Gm26797,Aftph,Gm18361
8627,1700071K01Rik,Rfc4,Defb13,Gm48934,Gm20714,Igkv3-2,Nadk2,Shisa6,4930458A03Rik,Ndufb4,Gm17111,Kbtbd7,,,,A430046D13Rik,Gm5471,Vmn2r103
8628,n-R5s12,Gm8492,Rhox2e,Zfp961,Pcf11,Gm47947,Bnip3,Mrps36,Gm45493,Gm42723,Gm9275,Gm22424,,,,Gm20609,Gm23932,Gm11674
8629,Gm27671,1810017P11Rik,Olfr469,Ccnb2,Gm49588,Thap11,Gm7430,Gm7831,Gm26306,Gm18301,Mir6372,1700006H21Rik,,,,Gm13398,Clca3a2,Mcpt2
8630,Fosl2,6030442K20Rik,Gm18604,Gm45048,Luzp1,AC142213.1,Pygo2,Nckipsd,Gm45709,Serpina3h,Gm23303,Gm7477,,,,Gm525,Ankrd36,Gm2061
8631,Spink4,Gm24262,Gm10139,Rpl21-ps10,Celrr,A530020G20Rik,Lrrc8d,Gm35521,Gm16537,Gm26527,Birc2,n-R5s174,,,,Rabif,Gnas,Sart3
8632,Csrnp2,Cdkl3,Gm44583,Naa25,Gm45662,Noxa1,Slc6a21,Gm22267,Gm24722,Mrap,Gm10714,Rnls,,,,2510009E07Rik,Akr1b3,Gm34983
8633,Ccl19,Zfp950,Gm7517,Gm45261,Eya1,Gm19409,Ska2,Grik2,Rps12-ps19,Gm44277,Phf5a,Gm43483,,,,Gm38058,Gm34023,Cfb
8634,Iqgap3,Gm26416,Gm5852,Gle1,9130401M01Rik,Dnajc14,Tmem74,Gm26664,Olfr1342,Gm44663,Gm5535,Mir5113,,,,Mir3088,Tcrg-V3,AC124512.1
8635,Nipal4,Gdnf,Gm42863,Casc4,Unkl,4930444F02Rik,Gm28055,Tmem91,Dmrtc2,Gm45212,Gm24368,Abat,,,,Aldh6a1,Crybg1,Trav9d-1
8636,Gm17482,Gm45159,Eps8l3,Fsip1,Gm13506,Fam19a3,Rnf130,Gpat2,Gm22753,Gm16046,Acot4,Gm45384,,,,Gm16685,Gm7463,Vmn1r168
8637,Gm35167,Gm16158,Defa33,E030044B06Rik,Cep68,Mmgt2,Gm34093,Gm14376,Gm31463,Cntnap1,Gm49211,4933433G08Rik,,,,Gm13377,Zfp42,Rpe65
8638,Rab3gap2,Ubxn2a,Gm45965,Gm25547,Gm37815,Gm47266,Tcp11l2,Gm49668,Gm27390,Rnf4,Chrnd,Akr1c19,,,,Gm42875,Serpina1e,Slc2a4rg-ps
8639,Atxn7l1os2,Mir378b,Gm16290,Mbnl3,5430425E15Rik,Gm7208,Gm49539,Tmem67,Btnl1,1700060J05Rik,Gm45289,Gm23273,,,,Gdpd3,Mthfd2l,Gm13463
8640,1700011L03Rik,Trim38,Gm9292,Mir6353,Gm43875,Cenpv,Fam193a,Ipo5,Gm45462,Fam91a1,Acer2,Tgfbi,,,,Gm42741,Slmap,Gm10522
8641,Gm9761,F8,4930543I11Rik,Rbm45,Hsf5,Gm20778,Col11a1,Haspin,Wt1os,9430053O09Rik,Ascl5,Xiap,,,,Gm38182,Wnt8b,AC110562.2
8642,Fbxo17,Gm37686,Mir7216,Trdn,Golt1a,Sprr2a2,Anks4b,Ppp1r9b,Snora3,Fam196a,Ptgfr,Gm30285,,,,Acot8,3110015C05Rik,Vmn2r-ps121
8643,Ccdc127,Pdcd6ip,Gm45078,Rad51c,Gm13930,Gm23676,Ticam1,Gm18492,Gm48338,Usp19,Abcb5,Rpl36-ps7,,,,Gm37847,H2-M10.1,Adgra2
8644,Gm16114,Gm38286,Gm18639,Gm42752,Gm12322,Maged2,Ecm1,Btn2a2,Mir30e,Cfap73,Gm19744,Olfr156,,,,Stt3a,2010001K21Rik,Gm7244
8645,Foxi1,Kat5,Ranbp2-ps1,Kcnq4,Tlr6,Cd79a,A030001D20Rik,Pdzrn4,Gm27191,Gm7107,Xk,Mir7k,,,,9030612E09Rik,Rps12-ps6,Gm11771
8646,Gm26735,Cep131,Gm10061,Mir195b,Olfr1404,Gm14788,Rab42,Gm23120,Gm24134,Dnm1l,Gm27530,C130036L24Rik,,,,Dcaf12l1,Gm49241,Gm47379
8647,Gm18134,Gm24547,Traj39,Gm43512,Serpinb3d,Hoxd13,Metap2,Dctn4,Trav4-4-dv10,Grhl2,Mrtfa,Tpi-rs4,,,,Gm22302,Gm38155,Gm2231
8648,Gm31597,Tmem62,Gm47932,Ccnj,Mir6918,Gm9071,A630095N17Rik,Gm3355,AA623943,Kcnk3,Gm16379,Gsdmcl2,,,,Cgref1,Gm25348,Gm38397
8649,Gm22327,Prkce,D130017N08Rik,Ripor3,Hspd1-ps3,Gm2892,Fam129c,Eef1g,Clic5,Palb2,C130040N14Rik,Gphb5,,,,Sema4c,Gm18486,Gm6872
8650,Gm37862,Akap10,Gm13662,Srf,Gdf6,Ramp3,Dync2li1,Gm13498,Gm7337,A730035I17Rik,Gm31224,Gm5907,,,,Gm48597,Gm12880,Ppbp
8651,Mycl,Gm47405,Zfp977,Gm18154,Igdcc4,Trbv15,Anapc16,Hectd3,Gm47667,Gm24724,Hint1,Eya2,,,,Gm12119,Slc23a1,Rps19-ps6
8652,Gm43099,Gm15990,Gm47966,Neu3,Obox4-ps25,Gm20529,Klc3,Khdc4,Gm23437,1700047M11Rik,Terf2,Bbof1,,,,Parn,Omt2b,Uxt
8653,Drd5,St6galnac6,Gm8667,1700017J07Rik,Hnrnpa2b1,Gm18894,Naa40,Mybbp1a,Ccdc18,Gm25317,AC122252.2,Adgrg7,,,,Gm42858,Depdc1b,A930024N18Rik
8654,Btn2a2,Gm19666,Olfr17,Gm28051,Gm45213,Gm23912,Igf2bp3,Gm22215,Gm6905,Gm16337,Gm47634,AC124192.1,,,,Pla2g4f,Gm14110,Gm27660
8655,Gm49411,Gm48155,Gm15141,Mir671,Gm26436,Gm44393,Ap2s1,Lactbl1,Gm8696,Fam47e,H2-K2,Dnajc28,,,,AC102119.1,Gm23846,Ifna4
8656,Fam120a,Camta2,Gm49371,Gm43979,Adad1,Spin2e,Gm44721,Crabp2,Gm18820,Hyal3,Gm30122,Gm16004,,,,Cacul1,Acbd6,Gm15332
8657,Ccnb1,Gm11348,Map10,Il17f,Psmg1,Gm47496,Gm16487,Magi2,Gm17518,Gm34350,Gm22196,Gm42935,,,,Yipf4,Gm29101,Gm17208
8658,Rec114,Xrcc5,Cyp2c69,Rpsa-ps4,Gm6560,Micall1,4930520O04Rik,Gm32950,Klk9,Dlat,Gm12353,D330037F02Rik,,,,n-R5s202,AC134458.2,Gm26019
8659,Gm48762,Rnf113a2,Olfr105-ps,Olfr1281,Gm14018,Gm42846,Vcpkmt,Nrip1,Gm48093,Gm1113,Gm24576,Gm34419,,,,Gm11524,Gm6278,Mir6241
8660,AC168050.1,Gm23834,Gm3139,Myct1,Gm26807,Pafah1b1-ps1,1700029J03Rik,Knl1,Hoxc8,Gm47056,Gm26888,A530046M15Rik,,,,Dclre1b,Gm23023,Rab11a
8661,Fam136a,4933406K04Rik,Gm45850,Spink7,Gm14391,Gm42588,Gm24671,Paqr8,Gm13032,Pura,Gm47750,Arfgap1,,,,Gm7514,Gm38505,Ighv8-16
8662,Igkv3-8,E130018N17Rik,Hbb-bh2,Gm47273,Loxl2,Gm22552,Zim1,C230037L18Rik,4632411P08Rik,Kctd3,Gm37206,4931429L15Rik,,,,Gm26675,Arl14epl,Gm19005
8663,Il1rapl2,Fancg,Gm47495,Sirt5,Olfr333-ps1,Rln3,Iqcf3,Zfp958,B230398E01Rik,Gm49255,Gm19254,Egfros,,,,Gsta4,Fmr1nb,Gm24440
