,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
87,Osbpl3,Arnt2,Hip1,Slc37a1,Pde10a,AC121299.1,Nrcam,Ntrk2,Gm26890,Fam129b,Nacad,Sertad2,Eipr1,Nt5e,Map6d1,Rin1,Cox8c,Gm37419
88,Cyfip2,Gria1,Ston2,Nckap5,Gm9308,Gm7746,Gramd1b,Limch1,Megf10,Ergic1,Mrpl17,AI464131,Lrrc6,Tmem130,Tmed10,Shank2,Gm16427,Tmem44
89,Scn8a,Frmd4b,Itgb5,Ppp6r2,Dapk2,Gm22620,Ryr2,Epb41l1,Pmp22,P3h1,Msi2,AC132455.3,Hs2st1,Kcna5,Hhip,Gm15957,Zfp993,Sorbs3
90,D630045J12Rik,Tox2,Wscd1,Rptor,Cds2,Cenpn,Syt7,Crmp1,Tcf7l2,Syne1,Spg7,Cactin,Rapgef5,Gm572,Tmem98,Gm10432,AA792892,Gm4076
91,Rabgap1l,Kcnab1,Kctd14,Myo6,Pcdh15,Gm6352,Myo5c,Vac14,Opalin,Celf2,Fads6,Nub1,Olfr1431,Zswim5,Gm13271,Zdhhc22,Fggy,Caskin2
92,Runx1t1,Trim67,AC132455.1,Lmbrd1,Dock3,Rusc2,Celf4,Msi2,Rhog,Dpf1,Trim67,Shisa4,0610040J01Rik,Rbks,Brf1,Actn4,Cep112,Otx1
93,Fap,Coro2b,Gm31105,Mcoln1,Skint2,Gm29345,Vipr1,Mtss1l,Gm47247,Nfasc,1110025M09Rik,Gm7628,Plcl2,Spesp1,Epas1,Mpped1,Gm5473,Sall1
94,Atp8a1,Snx25,Gm12724,Adam23,Esrp1,Adgrg3,Dmtn,P4ha2,Rapgef3,Sgsm1,Rab11fip3,Gm36584,Nrxn2,Siah3,Fzd5,Cerk,Tln2,Ptch1
95,Tenm2,Limch1,Arhgef10,Gm7929,Rims2,Gm12919,Sardh,Pnoc,2900040C04Rik,Stx1a,Ccdc86,Cuedc1,Frrs1l,Pou3f4,Tifab,Sipa1l1,Gm11399,Anp32a
96,Cfap54,Pvt1,Pld1,Sgsm1,Arhgap22,Rpl31-ps8,Crmp1,Stox2,Mal,Unc13b,Tcerg1,Pnrc1,Atf6,Impa2,Tkt,AC154187.1,Abcg2,Aldoc
97,Plekha6,Map3k1,Tcf7l2,Olfr1252,Pcsk6,Sorbs2,Btbd9,Cdca7l,Htra3,Il17d,Efcab2,Mmd2,Brms1,Olfm4,1110059E24Rik,4930447F24Rik,Fgf12,Hnrnpk
98,Tiam2,Dusp10,Rgs3,Tcp11l2,Myt1l,Ccdc172,Bcl11a,Abat,Gm45052,Camkk2,Ank1,Slc39a13,Gnaq,Spats2,Sertad3,Fmnl1,Cep128,Cdc42ep1
99,Slc1a2,Grip2,Gm25265,Lrrc28,Platr6,Gm28321,Phyhip,Jakmip1,Crnde,Plekha7,Dpysl5,Tkt,Cacng2,Crhbp,Sh3tc2,Malat1,Zfp986,Nfia
100,Cadps,Dlgap2,Nrarp,Gm15511,Cbs,Lmod1,Sel1l3,Ccdc102a,Soga1,Rbfox1,Usp48,Gm15743,Dkk3,Them7,Il12rb1,Ankrd33b,Tmem125,Prdm16
101,Dlgap1,Erbb4,Sorbs3,Adgrl2,Dst,Gm24692,Kif5c,Cit,Bin2,Celf5,Hexim1,2610035F20Rik,Hcn1,Drd3,Dusp10,Loxhd1,Gm20125,Pou3f2
102,Tcf4,Cacna1c,Gm38221,1700055C04Rik,Btbd1,Gm12070,Anks1b,Gm23299,Il21r,4930447F24Rik,Tmem183a,Slc6a9,Dkkl1,Gldn,Tbc1d16,Phyhip,Gm20778,Sema4b
103,Rab15,Usp13,Calr4,Cped1,Slc51b,Ankrd61,Baiap2,Grip1,Elovl1,Map2,Card11,AC131323.2,Ube2ql1,Lhfpl3,Rhoh,Celf3,Gm6205,Tsc22d4
104,Nav3,Cdh13,Prima1,Gm6135,Jade1,Gm4940,Fmnl1,Dhx35,Prr5l,Cfap54,Mir6769b,Tle1,Rtn4rl1,Acsf3,Cdc37l1,Siae,Gm3259,Tkt
105,Lncpint,Rassf5,Sash1,Gm44266,Col6a4,Npy2r,Plekhg5,Gm15700,Tmc7,Celf4,AW549877,Gm26660,Jakmip2,Rimkla,Bcl9l,Cx3cl1,Sox2ot,Rnf44
106,Loxhd1,St8sia5,Cldn11,Pkn2,Syt2,Pax1,Nptxr,Klhl29,Caskin2,Phf24,Brwd1,Sash1,Fat4,Cdc42ep3,Ehd1,Nrxn2,Frmd4b,Csrp1
107,Kcnma1,Oprd1,Cd82,Col9a1,Atr,Tgfa,Rtn4rl2,Elfn1,2010010A06Rik,Ank3,Ebag9,Gm24887,Hrh1,Slc44a3,Kctd13,Rai1,Gm2237,Gm36635
