,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
47334,Gm14480,Btbd1,Gm20075,,,,,,,,,,,,,,,,,,,,,,,,
47335,Gm6746,Sgip1,Fxyd2,,,,,,,,,,,,,,,,,,,,,,,,
47336,A230051N06Rik,Gcsh,Gm31159,,,,,,,,,,,,,,,,,,,,,,,,
47337,LOC105242825,LOC105246093,LOC105244978,,,,,,,,,,,,,,,,,,,,,,,,
47338,Gm12239,Hist1h2bc,Chat,,,,,,,,,,,,,,,,,,,,,,,,
47339,Plec,Gria1,Apol8,,,,,,,,,,,,,,,,,,,,,,,,
47340,Npsr1,Hrh3,LOC105247168,,,,,,,,,,,,,,,,,,,,,,,,
47341,LOC105245861,Stk33,Stox1,,,,,,,,,,,,,,,,,,,,,,,,
47342,Fbxl6,LOC105246546,1700094D03Rik,,,,,,,,,,,,,,,,,,,,,,,,
47343,Vamp5,Cldn10,Npdc1,,,,,,,,,,,,,,,,,,,,,,,,
47344,B930082K07Rik,D630033O11Rik,Cpne8,,,,,,,,,,,,,,,,,,,,,,,,
47345,Gm18186,Vmn2r1,Plekhm3,,,,,,,,,,,,,,,,,,,,,,,,
47346,LOC105246105,Atp5o,AF529169,,,,,,,,,,,,,,,,,,,,,,,,
47347,Slc25a18,Morn3,Vps33a,,,,,,,,,,,,,,,,,,,,,,,,
47348,Arpc1b,Tbc1d7,1110002E22Rik,,,,,,,,,,,,,,,,,,,,,,,,
47349,Adra1d,Ccnh,Cgref1,,,,,,,,,,,,,,,,,,,,,,,,
47350,Gm36159,Cit,Tmem117,,,,,,,,,,,,,,,,,,,,,,,,
47351,Ppp3r1,Cdc37l1,Gm35614,,,,,,,,,,,,,,,,,,,,,,,,
47352,Ushbp1,Ccm2,Wdr7,,,,,,,,,,,,,,,,,,,,,,,,
47353,Gm30716,Mfsd11,Herc1,,,,,,,,,,,,,,,,,,,,,,,,
47354,Dclre1a,Gm14966,Nxf7,,,,,,,,,,,,,,,,,,,,,,,,
47355,Mbd4,Tle1,Shh,,,,,,,,,,,,,,,,,,,,,,,,
47356,Glipr2,Tpm4,Zfp652os,,,,,,,,,,,,,,,,,,,,,,,,
47357,Gm816,Slc35e3,Fxyd6,,,,,,,,,,,,,,,,,,,,,,,,
47358,Sdpr,Fgd6,Ckmt2,,,,,,,,,,,,,,,,,,,,,,,,
47359,Map2k6,Atp5h,Ttc9b,,,,,,,,,,,,,,,,,,,,,,,,
47360,LOC105244927,LOC105244233,Gm36677,,,,,,,,,,,,,,,,,,,,,,,,
47361,Cc2d1b,Tmem119,Ywhag,,,,,,,,,,,,,,,,,,,,,,,,
47362,Gm19705,Rpl13a,Gm6980,,,,,,,,,,,,,,,,,,,,,,,,
47363,Lgr6,Gm14113,Gm32604,,,,,,,,,,,,,,,,,,,,,,,,
47364,Gm36205,Erg,C230034O21Rik,,,,,,,,,,,,,,,,,,,,,,,,
47365,Hivep3,Smim11,Gm32289,,,,,,,,,,,,,,,,,,,,,,,,
47366,Cd53,Optc,Gm32505,,,,,,,,,,,,,,,,,,,,,,,,
47367,Osbpl5,Rps5,Ccdc132,,,,,,,,,,,,,,,,,,,,,,,,
47368,Naprt,LOC105242759,LOC105245967,,,,,,,,,,,,,,,,,,,,,,,,
47369,BC034090,Arhgef37,Stk25,,,,,,,,,,,,,,,,,,,,,,,,
47370,Sh3glb2,C230072F16Rik,Icam4,,,,,,,,,,,,,,,,,,,,,,,,
47371,Gm30234,Cd1d1,Ap3m2,,,,,,,,,,,,,,,,,,,,,,,,
47372,Gm32703,Acat3,Gm32622,,,,,,,,,,,,,,,,,,,,,,,,
47373,LOC105244122,Gm16348,Mtf2,,,,,,,,,,,,,,,,,,,,,,,,
47374,Gm34280,Tmem192,Nudt17,,,,,,,,,,,,,,,,,,,,,,,,
47375,9030624G23Rik,Pkm,Zbtb18,,,,,,,,,,,,,,,,,,,,,,,,
47376,Leprot,Impact,Gm16938,,,,,,,,,,,,,,,,,,,,,,,,
47377,Prtg,LOC105244274,Gm43603,,,,,,,,,,,,,,,,,,,,,,,,
47378,Gm30284,Gnao1,Gpr27,,,,,,,,,,,,,,,,,,,,,,,,
47379,LOC105244627,Gm30769,M5C1000I18Rik,,,,,,,,,,,,,,,,,,,,,,,,
47380,Stx4a,Tceal8,Poli,,,,,,,,,,,,,,,,,,,,,,,,
47381,Itm2c,Lrch1,Gm1673,,,,,,,,,,,,,,,,,,,,,,,,
47382,Mroh7,Ccdc23,Gm5263,,,,,,,,,,,,,,,,,,,,,,,,
47383,Slc2a1,Slc26a6,Postn,,,,,,,,,,,,,,,,,,,,,,,,
47384,Gm18785,Irf2bp2,LOC102643175,,,,,,,,,,,,,,,,,,,,,,,,
47385,Fcer1g,LOC102633497,Gm29069,,,,,,,,,,,,,,,,,,,,,,,,
47386,Rsph3b,Apaf1,Mtmr12,,,,,,,,,,,,,,,,,,,,,,,,
47387,Gm31946,Mr1,Bid,,,,,,,,,,,,,,,,,,,,,,,,
47388,Gm26619,Ndufs7,Fam131c,,,,,,,,,,,,,,,,,,,,,,,,
47389,Fndc3b,Zim3,Lrrc20,,,,,,,,,,,,,,,,,,,,,,,,
47390,Kbtbd8,Gm35251,Rpl21-ps12,,,,,,,,,,,,,,,,,,,,,,,,
47391,Malat1,Lgmn,Rgs14,,,,,,,,,,,,,,,,,,,,,,,,
47392,4921513H07Rik,Gm12326,Lgr5,,,,,,,,,,,,,,,,,,,,,,,,
47393,Cml3,Slc25a38,LOC105244479,,,,,,,,,,,,,,,,,,,,,,,,
47394,LOC105246294,Tnc,1700048O20Rik,,,,,,,,,,,,,,,,,,,,,,,,
47395,Dmgdh,Cyb5d2,LOC105245975,,,,,,,,,,,,,,,,,,,,,,,,
47396,Mybpc3,Scd2,Mdh1b,,,,,,,,,,,,,,,,,,,,,,,,
47397,Ucp3,Slc12a4,8430419L09Rik,,,,,,,,,,,,,,,,,,,,,,,,
47398,Hey1,2610316D01Rik,Dip2c,,,,,,,,,,,,,,,,,,,,,,,,
47399,S100a11,1700020L24Rik,Gm36858,,,,,,,,,,,,,,,,,,,,,,,,
47400,Gm12976,Parp12,Usp14,,,,,,,,,,,,,,,,,,,,,,,,
47401,LOC102638268,1700042O10Rik,Rsph14,,,,,,,,,,,,,,,,,,,,,,,,
47402,Ephx4,Usp36,Cftr,,,,,,,,,,,,,,,,,,,,,,,,
47403,Gm31642,Atp6ap1,Sema4f,,,,,,,,,,,,,,,,,,,,,,,,
47404,Wbscr27,2310015A10Rik,Kcng3,,,,,,,,,,,,,,,,,,,,,,,,
47405,Gjb1,Gm715,Rac3,,,,,,,,,,,,,,,,,,,,,,,,
47406,Lbp,Tshr,Gm20387,,,,,,,,,,,,,,,,,,,,,,,,
47407,4930486I03Rik,Dct,Ppa1,,,,,,,,,,,,,,,,,,,,,,,,
47408,C030023E24Rik,Hat1,Angptl6,,,,,,,,,,,,,,,,,,,,,,,,
47409,Gm32810,Lefty2,Pld3,,,,,,,,,,,,,,,,,,,,,,,,
47410,Sirt7,Gm10373,Gm8495,,,,,,,,,,,,,,,,,,,,,,,,
47411,Fa2h,Tecrl,Abca5,,,,,,,,,,,,,,,,,,,,,,,,
47412,Aldh3a1,Ddx58,Gm32951,,,,,,,,,,,,,,,,,,,,,,,,
47413,Pabpc4l,BE949265,Naa40,,,,,,,,,,,,,,,,,,,,,,,,
47414,Bora,Sapcd1,4933432I09Rik,,,,,,,,,,,,,,,,,,,,,,,,
47415,Ppara,Exoc3,Atoh7,,,,,,,,,,,,,,,,,,,,,,,,
47416,4930528G23Rik,Arsi,A230077H06Rik,,,,,,,,,,,,,,,,,,,,,,,,
47417,LOC102636048,LOC105245981,Adcy3,,,,,,,,,,,,,,,,,,,,,,,,
47418,Gm36007,Gm13936,Gm16271,,,,,,,,,,,,,,,,,,,,,,,,
47419,Greb1,Stag3,Agap3,,,,,,,,,,,,,,,,,,,,,,,,
47420,Nupl1,Mrpl12,Barx2,,,,,,,,,,,,,,,,,,,,,,,,
47421,LOC105242858,Slc2a5,3000002C10Rik,,,,,,,,,,,,,,,,,,,,,,,,
47422,LOC105246940,Qser1,Thrb,,,,,,,,,,,,,,,,,,,,,,,,
47423,Gm14505,Gm28727,Nars2,,,,,,,,,,,,,,,,,,,,,,,,
47424,Gm34252,8030443G20Rik,Ift88,,,,,,,,,,,,,,,,,,,,,,,,
47425,Plag1,Ndufa3,Erich3,,,,,,,,,,,,,,,,,,,,,,,,
47426,Rin3,Mgrn1,LOC105244599,,,,,,,,,,,,,,,,,,,,,,,,
47427,Gm43653,Gm36430,Chn1os3,,,,,,,,,,,,,,,,,,,,,,,,
47428,LOC105243124,Ncaph,Gm32939,,,,,,,,,,,,,,,,,,,,,,,,
47429,Wsb2,LOC105243647,Cdh11,,,,,,,,,,,,,,,,,,,,,,,,
47430,Cyba,Prmt1,Mycbp2,,,,,,,,,,,,,,,,,,,,,,,,
47431,LOC105244255,Mknk1,Trp53i11,,,,,,,,,,,,,,,,,,,,,,,,
47432,Gm36299,Sord,6430590A10Rik,,,,,,,,,,,,,,,,,,,,,,,,
47433,Gm8170,Fam204a,Nckipsd,,,,,,,,,,,,,,,,,,,,,,,,
47434,Cd74,Ndufv2,Gck,,,,,,,,,,,,,,,,,,,,,,,,
47435,Thegl,6330409D20Rik,Tln2,,,,,,,,,,,,,,,,,,,,,,,,
47436,Kif1c,Sept4,Kif2a,,,,,,,,,,,,,,,,,,,,,,,,
47437,Chgb,Clnk,Ccna1,,,,,,,,,,,,,,,,,,,,,,,,
47438,LOC105243513,Gm26908,Fgf23,,,,,,,,,,,,,,,,,,,,,,,,
47439,Galnt15,LOC105244499,Gm34527,,,,,,,,,,,,,,,,,,,,,,,,
47440,LOC105245679,Nt5m,Rnft2,,,,,,,,,,,,,,,,,,,,,,,,
47441,Car11,4930578C19Rik,Gm28050,,,,,,,,,,,,,,,,,,,,,,,,
47442,Tek,4930522L14Rik,A330041J22Rik,,,,,,,,,,,,,,,,,,,,,,,,
47443,Begain,Opn5,Popdc3,,,,,,,,,,,,,,,,,,,,,,,,
47444,LOC105242925,Gsk3b,Gm15411,,,,,,,,,,,,,,,,,,,,,,,,
47445,Nxpe4,Sema5a,Abhd11os,,,,,,,,,,,,,,,,,,,,,,,,
47446,LOC102637577,Upf3b,Gm32811,,,,,,,,,,,,,,,,,,,,,,,,
47447,4930455H04Rik,Zfp366,Tespa1,,,,,,,,,,,,,,,,,,,,,,,,
47448,Ehbp1l1,Sec61g,Got1,,,,,,,,,,,,,,,,,,,,,,,,
47449,Rap1b,Myh4,LOC105244927,,,,,,,,,,,,,,,,,,,,,,,,
47450,Gm34983,8430408G22Rik,B930041F14Rik,,,,,,,,,,,,,,,,,,,,,,,,
47451,Galnt18,Ndufa4,LOC105244282,,,,,,,,,,,,,,,,,,,,,,,,
47452,Gm33492,Cox6c,Ccdc73,,,,,,,,,,,,,,,,,,,,,,,,
47453,LOC105246862,Gm16141,Gm33503,,,,,,,,,,,,,,,,,,,,,,,,
47454,Lmf1,LOC102641355,Gm32786,,,,,,,,,,,,,,,,,,,,,,,,
47455,Htra4,Clec2l,Gm18034,,,,,,,,,,,,,,,,,,,,,,,,
47456,Fgfr4,Scnn1a,Matn2,,,,,,,,,,,,,,,,,,,,,,,,
47457,Fas,Hspd1,Gm42775,,,,,,,,,,,,,,,,,,,,,,,,
47458,Gm30135,Lgals9,Brdt,,,,,,,,,,,,,,,,,,,,,,,,
47459,Ppap2a,Ccdc15,Gm28641,,,,,,,,,,,,,,,,,,,,,,,,
47460,Gm14776,Epm2aip1,LOC105245731,,,,,,,,,,,,,,,,,,,,,,,,
47461,Gm4204,Casp9,Ipo11,,,,,,,,,,,,,,,,,,,,,,,,
47462,Gm13248,Rps27a,Pacs1,,,,,,,,,,,,,,,,,,,,,,,,
47463,Spred1,Gm32370,Mir124a-2,,,,,,,,,,,,,,,,,,,,,,,,
47464,Gm17322,S100a1,Trabd2b,,,,,,,,,,,,,,,,,,,,,,,,
47465,Col5a2,Gm6108,N4bp2l1,,,,,,,,,,,,,,,,,,,,,,,,
47466,Clmn,Gm3002,Katnal2,,,,,,,,,,,,,,,,,,,,,,,,
47467,LOC105246845,Galnt5,Gm36283,,,,,,,,,,,,,,,,,,,,,,,,
47468,D330050G23Rik,Zfp473,Zar1l,,,,,,,,,,,,,,,,,,,,,,,,
47469,Csnk1g1,Pde6d,Tasp1,,,,,,,,,,,,,,,,,,,,,,,,
47470,Sgsh,5033406O09Rik,Gm30123,,,,,,,,,,,,,,,,,,,,,,,,
47471,Arhgef9,Edil3,Gm32224,,,,,,,,,,,,,,,,,,,,,,,,
47472,Gm42745,Papss2,Nkrf,,,,,,,,,,,,,,,,,,,,,,,,
47473,Exoc3l4,Fbll1,Mir3072,,,,,,,,,,,,,,,,,,,,,,,,
47474,Nid1,Cfl2,Mirt1,,,,,,,,,,,,,,,,,,,,,,,,
47475,Pgam2,4632415L05Rik,Samd5,,,,,,,,,,,,,,,,,,,,,,,,
47476,Gm19051,Disp2,Ppp1r9a,,,,,,,,,,,,,,,,,,,,,,,,
47477,Lrp5,Lsmem1,Gm35882,,,,,,,,,,,,,,,,,,,,,,,,
47478,Trp53inp1,Gpr183,Ctnna2,,,,,,,,,,,,,,,,,,,,,,,,
47479,LOC105245297,LOC105243973,Iqsec1,,,,,,,,,,,,,,,,,,,,,,,,
47480,Nr1d1,Epha3,Gm44196,,,,,,,,,,,,,,,,,,,,,,,,
47481,Gm32867,Ptch1,Gm17509,,,,,,,,,,,,,,,,,,,,,,,,
47482,Pop5,Tap1,LOC105242431,,,,,,,,,,,,,,,,,,,,,,,,
47483,Gal3st3,BC052040,Gm32724,,,,,,,,,,,,,,,,,,,,,,,,
47484,Gm30541,Lrp4,Stk11ip,,,,,,,,,,,,,,,,,,,,,,,,
47485,Gm43573,Ttc4,BC037032,,,,,,,,,,,,,,,,,,,,,,,,
47486,Paqr6,Nipal4,Ncs1,,,,,,,,,,,,,,,,,,,,,,,,
47487,Gm36123,Fhdc1,LOC105246956,,,,,,,,,,,,,,,,,,,,,,,,
47488,Cpq,Pkdcc,Asic1,,,,,,,,,,,,,,,,,,,,,,,,
47489,Raph1,Rchy1,LOC102641068,,,,,,,,,,,,,,,,,,,,,,,,
47490,LOC105244301,Gm7115,Ppp2r1b,,,,,,,,,,,,,,,,,,,,,,,,
47491,Art3,Hadha,Mast2,,,,,,,,,,,,,,,,,,,,,,,,
47492,Dtnbp1,Hdac11,Nap1l1,,,,,,,,,,,,,,,,,,,,,,,,
47493,Espn,Gm18084,Crlf2,,,,,,,,,,,,,,,,,,,,,,,,
47494,Kdr,LOC105245616,Gm20164,,,,,,,,,,,,,,,,,,,,,,,,
47495,4921504E06Rik,Hist1h2be,Gm5105,,,,,,,,,,,,,,,,,,,,,,,,
47496,Lrrc42,Nfkbiz,Gm9269,,,,,,,,,,,,,,,,,,,,,,,,
47497,Gm15124,Dhrs4,Lipg,,,,,,,,,,,,,,,,,,,,,,,,
47498,1700008F21Rik,Kantr,Bend4,,,,,,,,,,,,,,,,,,,,,,,,
47499,LOC105243934,Pogk,Wdr27,,,,,,,,,,,,,,,,,,,,,,,,
47500,5830416I19Rik,Gm31213,LOC102636360,,,,,,,,,,,,,,,,,,,,,,,,
47501,Celf3,Nmnat2,Klhl8,,,,,,,,,,,,,,,,,,,,,,,,
47502,Dmtn,Degs1,Gpr111,,,,,,,,,,,,,,,,,,,,,,,,
47503,Pus7l,Syngr3,AI854703,,,,,,,,,,,,,,,,,,,,,,,,
47504,Itga7,Gm15712,Gpr63,,,,,,,,,,,,,,,,,,,,,,,,
47505,Gm13325,Itgb4,Smim17,,,,,,,,,,,,,,,,,,,,,,,,
47506,Drp2,Gm15614,1700024B18Rik,,,,,,,,,,,,,,,,,,,,,,,,
47507,Ykt6,LOC102635783,Fam78a,,,,,,,,,,,,,,,,,,,,,,,,
47508,Adck3,Pus1,2610318N02Rik,,,,,,,,,,,,,,,,,,,,,,,,
47509,Emb,LOC105245272,Tacc1,,,,,,,,,,,,,,,,,,,,,,,,
47510,Gpr17,Aff2,Limd2,,,,,,,,,,,,,,,,,,,,,,,,
47511,Abcb1a,LOC105245303,LOC105243895,,,,,,,,,,,,,,,,,,,,,,,,
47512,Hook1,Gm10406,Rai2,,,,,,,,,,,,,,,,,,,,,,,,
47513,LOC105243938,LOC105245083,LOC105242742,,,,,,,,,,,,,,,,,,,,,,,,
47514,Arhgdig,S1pr2,Nek10,,,,,,,,,,,,,,,,,,,,,,,,
47515,Mpzl3,Gssos1,Sorbs2,,,,,,,,,,,,,,,,,,,,,,,,
47516,LOC102632636,Gabarap,Magee2,,,,,,,,,,,,,,,,,,,,,,,,
47517,LOC105243583,Olfr288,H2-DMa,,,,,,,,,,,,,,,,,,,,,,,,
47518,Gm35515,LOC105247139,Obscn,,,,,,,,,,,,,,,,,,,,,,,,
47519,Hey2,Tnrc18,LOC102641372,,,,,,,,,,,,,,,,,,,,,,,,
47520,Mpl,Gm13832,A730017L22Rik,,,,,,,,,,,,,,,,,,,,,,,,
47521,Tspo,Scly,Gm17927,,,,,,,,,,,,,,,,,,,,,,,,
47522,Gm5089,A730043L09Rik,Klhdc8a,,,,,,,,,,,,,,,,,,,,,,,,
47523,Mex3b,Ahsa2,Nat8l,,,,,,,,,,,,,,,,,,,,,,,,
47524,Atp6v0a4,Dek,Phlpp2,,,,,,,,,,,,,,,,,,,,,,,,
47525,4933407I05Rik,Gm7030,Itga11,,,,,,,,,,,,,,,,,,,,,,,,
47526,Vis1,Tnfrsf13c,Zcchc12,,,,,,,,,,,,,,,,,,,,,,,,
47527,F11r,Enpp5,Phtf2,,,,,,,,,,,,,,,,,,,,,,,,
47528,Kdm7a,D10Jhu81e,Gm10406,,,,,,,,,,,,,,,,,,,,,,,,
47529,Gm18212,Amer1,Aars2,,,,,,,,,,,,,,,,,,,,,,,,
47530,Gm30079,Gm34076,1700003F12Rik,,,,,,,,,,,,,,,,,,,,,,,,
47531,Gm18580,Ndufaf2,Bag4,,,,,,,,,,,,,,,,,,,,,,,,
47532,Gm32911,Pard6g,Clip4,,,,,,,,,,,,,,,,,,,,,,,,
47533,Pbx1,4732491K20Rik,Fth-ps2,,,,,,,,,,,,,,,,,,,,,,,,
47534,LOC105242560,Mical1,Nab2,,,,,,,,,,,,,,,,,,,,,,,,
47535,Gm13590,Gm20618,Gm26620,,,,,,,,,,,,,,,,,,,,,,,,
47536,LOC105245376,2310068J16Rik,Chodl,,,,,,,,,,,,,,,,,,,,,,,,
47537,5730559C18Rik,Ndufs2,Gm32545,,,,,,,,,,,,,,,,,,,,,,,,
47538,Gm17634,Fdx1,Dpysl4,,,,,,,,,,,,,,,,,,,,,,,,
47539,Slc2a9,Gm33628,Gm29019,,,,,,,,,,,,,,,,,,,,,,,,
47540,LOC105246827,Prdx2,LOC105244144,,,,,,,,,,,,,,,,,,,,,,,,
47541,Ttc22,Rnf138rt1,Gm19195,,,,,,,,,,,,,,,,,,,,,,,,
47542,Gm32164,Zhx2,Prox2os,,,,,,,,,,,,,,,,,,,,,,,,
47543,Ldlrap1,C330018A13Rik,Gm34903,,,,,,,,,,,,,,,,,,,,,,,,
47544,Neil2,Sh3rf3,Adamts13,,,,,,,,,,,,,,,,,,,,,,,,
47545,Efnb2,Clpp,4930509J09Rik,,,,,,,,,,,,,,,,,,,,,,,,
47546,Cd82,Srsf2,Gm10600,,,,,,,,,,,,,,,,,,,,,,,,
47547,Gm15867,A930024N18Rik,Myb,,,,,,,,,,,,,,,,,,,,,,,,
47548,Psg16,Cttnbp2nl,Pde6a,,,,,,,,,,,,,,,,,,,,,,,,
47549,Serpinh1,A330049N07Rik,Gm7656,,,,,,,,,,,,,,,,,,,,,,,,
47550,Myrip,Simc1,Gm4409,,,,,,,,,,,,,,,,,,,,,,,,
47551,Tnmd,Mpc1-ps,LOC105245905,,,,,,,,,,,,,,,,,,,,,,,,
47552,Bfsp2,Ndufa8,Atp9a,,,,,,,,,,,,,,,,,,,,,,,,
47553,Gm11418,2610300M13Rik,Slc28a1,,,,,,,,,,,,,,,,,,,,,,,,
47554,Dot1l,Gm32247,Nanos3,,,,,,,,,,,,,,,,,,,,,,,,
47555,LOC105243265,Gm32313,Gm9930,,,,,,,,,,,,,,,,,,,,,,,,
47556,Mir24-2,Gm32267,Prkag2os1,,,,,,,,,,,,,,,,,,,,,,,,
47557,Ypel2,Ndufb9,Atg16l1,,,,,,,,,,,,,,,,,,,,,,,,
47558,Herc4,Sirt5,Ankrd63,,,,,,,,,,,,,,,,,,,,,,,,
47559,Mir1931,Notum,Gm8355,,,,,,,,,,,,,,,,,,,,,,,,
47560,Gm36616,Dip2a,Cdhr3,,,,,,,,,,,,,,,,,,,,,,,,
47561,LOC102633469,Tinagl1,Gm34676,,,,,,,,,,,,,,,,,,,,,,,,
47562,LOC105245700,Wrb,4930547M16Rik,,,,,,,,,,,,,,,,,,,,,,,,
47563,Gm33272,Slc25a20,Gm16226,,,,,,,,,,,,,,,,,,,,,,,,
47564,Cbln4,Ppp1r16b,Ano5,,,,,,,,,,,,,,,,,,,,,,,,
47565,A830010M20Rik,Gm17838,Snx10,,,,,,,,,,,,,,,,,,,,,,,,
47566,Slc36a1,2410015M20Rik,Traf3,,,,,,,,,,,,,,,,,,,,,,,,
47567,Zfp40,Lpin1,Gm30958,,,,,,,,,,,,,,,,,,,,,,,,
47568,Gm18494,Pipox,Gzmk,,,,,,,,,,,,,,,,,,,,,,,,
47569,Arhgef26,E130215H24Rik,Lrrtm1,,,,,,,,,,,,,,,,,,,,,,,,
47570,Spag16,Slc18b1,RP23-216D14.3,,,,,,,,,,,,,,,,,,,,,,,,
47571,LOC105242778,Mrpl42,Esr1,,,,,,,,,,,,,,,,,,,,,,,,
47572,Arap1,Hsdl2,Gm30904,,,,,,,,,,,,,,,,,,,,,,,,
47573,Gm15732,Rai2,Scarna13,,,,,,,,,,,,,,,,,,,,,,,,
47574,Cd4,Tmem185b,Gm12709,,,,,,,,,,,,,,,,,,,,,,,,
47575,Gm13584,Stat5a,Gm6537,,,,,,,,,,,,,,,,,,,,,,,,
47576,Gm26785,Slc19a3,Cnga4,,,,,,,,,,,,,,,,,,,,,,,,
47577,4930425L21Rik,Cdh23,Gm10125,,,,,,,,,,,,,,,,,,,,,,,,
47578,Tnpo1,Rgma,Gm18919,,,,,,,,,,,,,,,,,,,,,,,,
47579,LOC102633746,Mblac2,Gm17984,,,,,,,,,,,,,,,,,,,,,,,,
47580,Rps13-ps4,Cilp2,Gm30208,,,,,,,,,,,,,,,,,,,,,,,,
47581,LOC102637483,Abi3,Gm35977,,,,,,,,,,,,,,,,,,,,,,,,
47582,Mcee,Atp1b3,Adra2c,,,,,,,,,,,,,,,,,,,,,,,,
47583,Kcnq5,Gm26521,Gm14539,,,,,,,,,,,,,,,,,,,,,,,,
47584,Gm26801,Hspa2,Tes3-ps,,,,,,,,,,,,,,,,,,,,,,,,
47585,Gm15083,Sh3kbp1,Gm13389,,,,,,,,,,,,,,,,,,,,,,,,
47586,Fam154b,Rims4,LOC105242448,,,,,,,,,,,,,,,,,,,,,,,,
47587,Spred2,Pcif1,1700052N19Rik,,,,,,,,,,,,,,,,,,,,,,,,
47588,Dok3,Ndufb5,Rufy3,,,,,,,,,,,,,,,,,,,,,,,,
47589,Gm4419,Sema6d,Gm14164,,,,,,,,,,,,,,,,,,,,,,,,
47590,Gm18637,Smdt1,Ap1s3,,,,,,,,,,,,,,,,,,,,,,,,
47591,Phldb1,Chchd3,LOC105245456,,,,,,,,,,,,,,,,,,,,,,,,
47592,LOC105243298,Cs,Gm34116,,,,,,,,,,,,,,,,,,,,,,,,
47593,Gm2560,2810429I04Rik,Pitpnm2,,,,,,,,,,,,,,,,,,,,,,,,
47594,Pcnxl2,Atp5a1,Gm16353,,,,,,,,,,,,,,,,,,,,,,,,
47595,Sparc,Nrxn3,Dmrtc1a,,,,,,,,,,,,,,,,,,,,,,,,
47596,Dpp10,Uqcrfs1,LOC105247058,,,,,,,,,,,,,,,,,,,,,,,,
47597,Hs2st1,Gm7285,Gm14285,,,,,,,,,,,,,,,,,,,,,,,,
47598,Endou,4833417C18Rik,Adrb1,,,,,,,,,,,,,,,,,,,,,,,,
47599,Hivep1,Ctsf,LOC105246569,,,,,,,,,,,,,,,,,,,,,,,,
47600,LOC100534389,Heph,Gm14015,,,,,,,,,,,,,,,,,,,,,,,,
47601,Aldh3b2,Orc5,BC089491,,,,,,,,,,,,,,,,,,,,,,,,
47602,Gm36922,Zfp488,Gm28055,,,,,,,,,,,,,,,,,,,,,,,,
47603,Gm35116,Mrpl18,Calm2,,,,,,,,,,,,,,,,,,,,,,,,
47604,Myh6,Gm18173,LOC105243124,,,,,,,,,,,,,,,,,,,,,,,,
47605,Cd93,LOC105245376,Mllt11,,,,,,,,,,,,,,,,,,,,,,,,
47606,2900079G21Rik,9330159M07Rik,Chd3os,,,,,,,,,,,,,,,,,,,,,,,,
47607,2810029C07Rik,Gm34744,Plvap,,,,,,,,,,,,,,,,,,,,,,,,
47608,Gm11730,Gm16337,LOC105244940,,,,,,,,,,,,,,,,,,,,,,,,
47609,Crip1,Stk24,Incenp,,,,,,,,,,,,,,,,,,,,,,,,
47610,Gm12295,Grk5,Smim14,,,,,,,,,,,,,,,,,,,,,,,,
47611,LOC102634300,Gjb1,C2cd4b,,,,,,,,,,,,,,,,,,,,,,,,
47612,Gm35059,Tgfbr1,Gm5398,,,,,,,,,,,,,,,,,,,,,,,,
47613,Thnsl1,Irf2bp1,4930479D17Rik,,,,,,,,,,,,,,,,,,,,,,,,
47614,Gria3,Gm694,Kcnq1ot1,,,,,,,,,,,,,,,,,,,,,,,,
47615,Cd101,1110001J03Rik,L2hgdh,,,,,,,,,,,,,,,,,,,,,,,,
47616,Gm6581,Gm31907,Gm13446,,,,,,,,,,,,,,,,,,,,,,,,
47617,LOC105244546,Mx2,Entpd6,,,,,,,,,,,,,,,,,,,,,,,,
47618,B230334C09Rik,2010007H06Rik,Gm18930,,,,,,,,,,,,,,,,,,,,,,,,
47619,D430020J02Rik,Cox5a,Gm31500,,,,,,,,,,,,,,,,,,,,,,,,
47620,Gm30388,Rpn2,Stradb,,,,,,,,,,,,,,,,,,,,,,,,
47621,Cdkl1,Depdc7,Gm33509,,,,,,,,,,,,,,,,,,,,,,,,
47622,Gm13710,Lrrc61,LOC105242636,,,,,,,,,,,,,,,,,,,,,,,,
47623,LOC102640573,Acadvl,LOC105244309,,,,,,,,,,,,,,,,,,,,,,,,
47624,Trpm3,Gm10250,LOC105246193,,,,,,,,,,,,,,,,,,,,,,,,
47625,Gm32746,Acyp2,Klf8,,,,,,,,,,,,,,,,,,,,,,,,
47626,Gm17202,Gm17090,Zfp551,,,,,,,,,,,,,,,,,,,,,,,,
47627,4921511C10Rik,Enox2,Slc23a3,,,,,,,,,,,,,,,,,,,,,,,,
47628,Gm9796,Hacl1,Pxdn,,,,,,,,,,,,,,,,,,,,,,,,
47629,Ranbp9,Tmbim6,Gm18755,,,,,,,,,,,,,,,,,,,,,,,,
47630,Ubtf,Relt,LOC105242643,,,,,,,,,,,,,,,,,,,,,,,,
47631,Cnih2,LOC102639568,Adcy2,,,,,,,,,,,,,,,,,,,,,,,,
