,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
70,Slc44a5,Gm28928,Gatm,,,,,,,,,,Lhfpl2,Wls,Ctbp2,Gm12930,Myh3,Itga7,Tpbg,Fbxo32,Cartpt,G630018N14Rik,Satb1,Adra1b,,,
71,Tox2,Blnk,Itpr2,,,,,,,,,,Ebf2,Pamr1,Diaph3,Naa11,Itga5,Olfm3,Clic1,Egfr,Cox6a2,Cyyr1,Gm8281,Cdh6,,,
72,A930029G22Rik,Glt8d2,Mt2,,,,,,,,,,Oxtr,Gm26883,Sgpp2,9530091C08Rik,Limk1,Tspan9,Shb,Hcrtr2,Oprd1,Bhlhe22,Rxfp3,Sez6,,,
73,Igsf3,Rin1,Prdm16,,,,,,,,,,Gm30529,Mirt1,Fam20a,LOC105245598,Gm30620,Sh3d19,Samd14,Tnfaip8l3,BC030867,Megf11,Kctd8,Sox8,,,
74,Dpysl5,Lingo1,Phkg1,,,,,,,,,,Gm10421,Prkcq,Gm44593,Hsd11b1,Gm35853,Ptprt,Scube2,Cpne8,Fam43a,Frmd7,Prkcq,Dok7,,,
75,Spock3,Il17ra,Ccdc141,,,,,,,,,,Gm31075,Mndal,Gm11730,4930467D21Rik,Gm32756,Mgat4c,Dip2a,Foxo1,Man1c1,Ermn,Cbln4,Aqp5,,,
76,Lgi2,Igfn1,Slc7a2,,,,,,,,,,LOC105243894,Synpo2,Ndrg2,Ankfn1,LOC105242740,Sfmbt2,Fign,Grem2,Hhatl,Pvrl3,Layn,Sostdc1,,,
77,Ece2,Psrc1,Car8,,,,,,,,,,B230216N24Rik,Mmp11,Ankrd34b,Rasa4,LOC105246377,Gm32647,Serpini1,Chrna7,Rapgef5,F730016J06Rik,Cd55,Rspo1,,,
78,Rnf144b,Rasgrp1,Prex2,,,,,,,,,,A530058N18Rik,Npsr1,Slc5a5,Brinp3,LOC105245003,1700023F02Rik,Cntn6,Nfix,Sfmbt2,Frem2,Sstr1,Scn7a,,,
79,Kcnc2,Rprml,Tspan2,,,,,,,,,,Arhgap6,Grp,Pbx3,Man1a,Igh,Npbwr1,Stk26,Rgsl1,Tll1,Gm11844,4930567K20Rik,Id3,,,
80,Tac1,Meis2,Il18,,,,,,,,,,Tnfrsf8,Abca15,Lacc1,Phactr2,Gm30512,Gm15825,Tmem150c,Mpdz,Casz1,Sdk2,AW551984,Itga4,,,
81,Cxcl14,Wnt4,Slc25a18,,,,,,,,,,Cdh7,Dner,Tekt5,Rora,Gm11581,Itm2a,C130073E24Rik,Homer2,Rnd2,Csrp2,Dact1,Dach2,,,
